key,translation
Shopping Cart,Coș de cumpărături
Your cart is empty!,Coșul tău este gol!
Your cart is empty,Coșul tău este gol
CONTINUE SHOPPING,CONTINUĂ CUMPĂRĂTURILE
Continue Shopping,Continuă cumpărăturile
Order summary,Rezumatul comenzii
CHECKOUT,FINALIZEAZĂ COMANDA
Sub total,Subtotal
Contact Information,Informații de contact
Enter your email,Introdu adresa de email
Enter your password,Introdu parola
Log in,Autentificare
Logging in...,Se autentifică...
Logout,Deconectare
Logging out...,Se deconectează...
Logged in as,Autentificat ca
Successfully logged in,Autentificare reușită
Successfully logged out,Deconectare reușită
Login failed,Autentificarea a eșuat
Shipping Address,Adresa de livrare
Shipping Method,Metoda de livrare
Available shipping methods will appear once you provide your address details,Metodele de livrare disponibile vor apărea după ce completezi datele adresei
No shipping methods available,Nu există metode de livrare disponibile
No shipping options are available for your location,Nu există opțiuni de livrare disponibile pentru locația ta
Please select a shipping method,Te rugăm să selectezi o metodă de livrare
Failed to update shipment,Actualizarea livrării a eșuat
Billing Address,Adresa de facturare
Same as shipping address,Aceeași ca adresa de livrare
Use a different billing address,Folosește o altă adresă de facturare
Continue to payment,Continuă către plată
Payment Information,Informații de plată
Pick a payment method,Alege o metodă de plată
No payment methods available,Nu există metode de plată disponibile
Please select a payment method,Te rugăm să selectezi o metodă de plată
Select a payment method,Selectează o metodă de plată
Complete Order,Finalizează comanda
Please provide billing address to proceed,Te rugăm să completezi adresa de facturare pentru a continua
Inclusive of tax ${totalTaxAmount},Include taxă de ${totalTaxAmount}
Discount(${coupon}),Reducere (${coupon})
Shipping (${method}),Livrare (${method})
No shipping is required for this order,Această comandă nu necesită livrare
No shipping required,Nu este necesară livrarea
Select shipping method,Selectează metoda de livrare
Enter coupon code,Introdu codul de cupon
Apply,Aplică
Coupon applied successfully!,Cupon aplicat cu succes!
Invalid coupon,Cupon invalid
Coupon removed successfully!,Cupon eliminat cu succes!
Coupon code is required,Codul cuponului este obligatoriu
FREE,GRATUIT
Free,Gratuit
Contact for pricing,Contactează-ne pentru preț
Please select variant options,Te rugăm să selectezi opțiunile variantei
My Account,Contul meu
Recent Orders,Comenzi recente
Account Information,Informații cont
Address Book,Carte de adrese
You have no addresses saved,Nu ai nicio adresă salvată
Add new address,Adaugă o adresă nouă
Edit Address,Editează adresa
Set as default,Setează ca implicită
Close,Închide
Address has been updated successfully!,Adresa a fost actualizată cu succes!
Address has been deleted successfully!,Adresa a fost ștearsă cu succes!
Address has been saved successfully!,Adresa a fost salvată cu succes!
Address,Adresă
Address 2,Adresă 2
Address is required,Adresa este obligatorie
City,Oraș
City is required,Orașul este obligatoriu
Country is required,Țara este obligatorie
Province,Județ
Province is required,Județul este obligatoriu
Postcode,Cod poștal
Postcode is required,Codul poștal este obligatoriu
Telephone,Telefon
Telephone is required,Telefonul este obligatoriu
Full name,Nume complet
Full name is required,Numele complet este obligatoriu
You have not placed any orders yet,Nu ai plasat încă nicio comandă
Edit,Editează
Search results for: ${keyword},Rezultate pentru: ${keyword}
Search results for "${keyword}",Rezultate pentru ${keyword}
Checkout success,Comandă finalizată
No products found,Nu au fost găsite produse
Add some items to get started,Adaugă câteva produse pentru a începe
Your Cart,Coșul tău
View Cart (${totalQty}),Vezi coșul (${totalQty})
Payment Method,Metoda de plată
Color,Culoare
White,Alb
Black,Negru
Yellow,Galben
Order #${orderNumber},Comanda #${orderNumber}
Thank you ${name}!,Îți mulțumim, ${name}!
${count} products,${count} produse
${count} Products,${count} produse
Add to Cart,Adaugă în coș
ADD TO CART,ADAUGĂ ÎN COȘ
Adding...,Se adaugă...
SOLD OUT,STOC EPUIZAT
In Stock,În stoc
Out of Stock,Stoc epuizat
Product Description,Descriere produs
Product Filters,Filtre produse
Filters,Filtre
Sort By,Sortează după
Select sort,Selectează sortarea
Default,Implicit
Price,Preț
Name,Nume
Active Filters,Filtre active
Clear All,Șterge tot
Apply Filters,Aplică filtrele
Filter Products,Filtrează produsele
No categories found for "${term}",Nu există categorii pentru ${term}
No options found for "${code}",Nu există opțiuni pentru ${code}
Show all ${count} options,Arată toate cele ${count} opțiuni
Categories,Categorii
