key,translation
© 2022 Evershop. All Rights Reserved.,© 2022 Evershop. All Rights Reserved.
Login,Login
Welcome Back!,Welcome Back!
Please sign in to your account,Please sign in to your account
Sign In,Sign In
Signing In...,Signing In...
Create an account,Create an account
Forgot your password?,Forgot your password?
Email,Email
Password,Password
Email is required,Email is required
Password is required,Password is required
Go to Login,Go to Login
Invalid email or password,Invalid email or password
Join us for exclusive offers and order tracking,Join us for exclusive offers and order tracking
Already have an account?,Already have an account?
Full Name,Full Name
Full Name is required,Full Name is required
Sign Up,Sign Up
Signing Up...,Signing Up...
Reset password,Reset password
Reset Password,Reset Password
Reset Your Password,Reset Your Password
Please enter your email to receive a reset link,Please enter your email to receive a reset link
Enter your new password,Enter your new password
Your password has been updated successfully.,Your password has been updated successfully.
"We have sent you an email with a link to reset your password. Please check your inbox.","We have sent you an email with a link to reset your password. Please check your inbox."
UPDATE PASSWORD,UPDATE PASSWORD
Shopping cart,Shopping cart
Shopping Cart,Shopping Cart
Your cart is empty!,Your cart is empty!
Your cart is empty,Your cart is empty
CONTINUE SHOPPING,CONTINUE SHOPPING
Continue Shopping,Continue Shopping
Order summary,Order summary
CHECKOUT,CHECKOUT
Sub total,Sub total
Contact Information,Contact Information
Enter your email,Enter your email
Enter your password,Enter your password
Log in,Log in
Logging in...,Logging in...
Logout,Logout
Logging out...,Logging out...
Logged in as,Logged in as
Successfully logged in,Successfully logged in
Successfully logged out,Successfully logged out
Login failed,Login failed
Shipping Address,Shipping Address
Shipping Method,Shipping Method
Available shipping methods will appear once you provide your address details,Available shipping methods will appear once you provide your address details
No shipping methods available,No shipping methods available
No shipping options are available for your location,No shipping options are available for your location
Please select a shipping method,Please select a shipping method
Failed to update shipment,Failed to update shipment
Billing Address,Billing Address
Same as shipping address,Same as shipping address
Use a different billing address,Use a different billing address
Continue to payment,Continue to payment
Payment Information,Payment Information
Pick a payment method,Pick a payment method
No payment methods available,No payment methods available
Please select a payment method,Please select a payment method
Select a payment method,Select a payment method
Complete Order,Complete Order
Please provide billing address to proceed,Please provide billing address to proceed
Inclusive of tax ${totalTaxAmount},Inclusive of tax ${totalTaxAmount}
Discount(${coupon}),Discount(${coupon})
Shipping (${method}),Shipping (${method})
No shipping is required for this order,No shipping is required for this order
No shipping required,No shipping required
Select shipping method,Select shipping method
Enter coupon code,Enter coupon code
Apply,Apply
Coupon applied successfully!,Coupon applied successfully!
Invalid coupon,Invalid coupon
Coupon removed successfully!,Coupon removed successfully!
Coupon code is required,Coupon code is required
FREE,FREE
Free,Free
Contact for pricing,Contact for pricing
Please select variant options,Please select variant options
My Account,My Account
Recent Orders,Recent Orders
Account Information,Account Information
Address Book,Address Book
You have no addresses saved,You have no addresses saved
Add new address,Add new address
Edit Address,Edit Address
Set as default,Set as default
Close,Close
Address has been updated successfully!,Address has been updated successfully!
Address has been deleted successfully!,Address has been deleted successfully!
Address has been saved successfully!,Address has been saved successfully!
Address,Address
Address 2,Address 2
Address is required,Address is required
City,City
City is required,City is required
Country is required,Country is required
Province,Province
Province is required,Province is required
Postcode,Postcode
Postcode is required,Postcode is required
Telephone,Telephone
Telephone is required,Telephone is required
Full name,Full name
Full name is required,Full name is required
You have not placed any orders yet,You have not placed any orders yet
Edit,Edit
Search results for: ${keyword},Search results for: ${keyword}
Search results for "${keyword}",Search results for ${keyword}
Checkout success,Checkout success
No products found,No products found
Add some items to get started,Add some items to get started
Your Cart,Your Cart
View Cart (${totalQty}),View Cart (${totalQty})
Payment Method,Payment Method
Color,Color
White,White
Black,Black
Yellow,Yellow
Order #${orderNumber},Order #${orderNumber}
Thank you ${name}!,Thank you ${name}!
${count} products,${count} products
${count} Products,${count} Products
Add to Cart,Add to Cart
ADD TO CART,ADD TO CART
Adding...,Adding...
SOLD OUT,SOLD OUT
In Stock,In Stock
Out of Stock,Out of Stock
Product Description,Product Description
Product Filters,Product Filters
Filters,Filters
Sort By,Sort By
Select sort,Select sort
Default,Default
Price,Price
Name,Name
Active Filters,Active Filters
Clear All,Clear All
Apply Filters,Apply Filters
Filter Products,Filter Products
No categories found for "${term}",No categories found for ${term}
No options found for "${code}",No options found for ${code}
Show all ${count} options,Show all ${count} options
Categories,Categories
